divname,total_acreage,park_count,avg_park_size,green_score
McKinley,1114.11,32,34.82,1.0
Frick,847.53,20,42.38,0.62
Schenley,556.83,23,24.21,0.205
Highland,459.06,22,20.87,0.066
Riverview,444.12,38,11.69,0.044
Emerald,413.05,33,12.52,0.0
